País,Cliques,Impressões,CTR,Posição
Brasil,671,4556,14.73%,6.59
Estados Unidos,1,92,1.09%,5.2
Reino Unido,0,11,0%,8.27
Canadá,0,9,0%,12.44
Bangladesh,0,7,0%,5.57
Indonésia,0,5,0%,24.4
Vietnã,0,4,0%,3.75
Irlanda,0,4,0%,10
Austrália,0,4,0%,11
Filipinas,0,4,0%,16.5
Portugal,0,3,0%,6.33
Colômbia,0,3,0%,7
Alemanha,0,3,0%,11.67
Espanha,0,3,0%,14.33
Tailândia,0,3,0%,15.67
Países Baixos,0,2,0%,1.5
Itália,0,2,0%,4
Bélgica,0,2,0%,4.5
Japão,0,2,0%,5
México,0,2,0%,7
Suíça,0,2,0%,8.5
Taiwan,0,2,0%,8.5
Malásia,0,2,0%,9
Áustria,0,2,0%,10
França,0,2,0%,11.5
Turquia,0,2,0%,14.5
Sri Lanka,0,2,0%,16
Angola,0,1,0%,1
Cazaquistão,0,1,0%,1
Sérvia,0,1,0%,1
Bulgária,0,1,0%,4
Egito,0,1,0%,5
Honduras,0,1,0%,5
Marrocos,0,1,0%,5
Grécia,0,1,0%,6
Índia,0,1,0%,7
Jamaica,0,1,0%,7
Lituânia,0,1,0%,9
Arábia Saudita,0,1,0%,10
Uzbequistão,0,1,0%,10
República Tcheca,0,1,0%,11
Kuwait,0,1,0%,11
Noruega,0,1,0%,11
Rússia,0,1,0%,11
Ucrânia,0,1,0%,11
Finlândia,0,1,0%,12
Polônia,0,1,0%,12
Nova Zelândia,0,1,0%,13
Paquistão,0,1,0%,13
Croácia,0,1,0%,14
Nicarágua,0,1,0%,15
Líbia,0,1,0%,16
Coréia do Sul,0,1,0%,18
Romênia,0,1,0%,18
Peru,0,1,0%,35